0.64,0.32,1
0.5,0.14,1
0.71,1.23,1
0,0.63,1
0,0.63,1
0,1.85,1
0,1.92,1
0,1.88,1
0.46,0.61,1
0.77,0.19,1
0,0,1
0.25,0.38,1
0.34,0.34,1
0,0.9,1
1.42,0.71,1
0.42,1.27,1
0,0.94,1
0,0,1
0.55,1.11,1
0,1.59,1
0,0,1
0.1,0.76,1
0,2.94,1
0,1.16,1
0,0,1
0.1,0.76,1
0,0,1
0,0,1
0,0,1
0,0.65,1
0,0,1
3.03,0,1
0,1.89,1
0,0,1
0,0,1
2.56,0,1
0,2.94,1
0.48,1.46,1
0.48,0.48,1
1.66,0.41,1
0,0.61,1
0,2.94,1
0,2.94,1
0.55,1.11,1
0,0.52,1
1.05,0.45,1
0.18,1.57,1
0.99,0,1
0.46,0.05,1
0.26,0,1
0,1.92,1
1.09,0,1
0.77,0.19,1
0,0,1
0.73,0,1
0,0,1
0,0,1
1.26,0,1
0.45,0.45,1
1.68,0.42,1
0,0,1
0.47,0.23,1
0.46,1.39,1
0,0.68,1
0.12,1.32,1
0.66,0,1
0.48,1.46,1
0,0,1
0.61,0,1
0,0,1
0,1.26,1
0.53,0.53,1
0.89,0.44,1
0.46,0.46,1
0.48,1.44,1
0.94,0,1
1.77,0,1
0.37,0.18,1
0.2,1.67,1
0,0,1
0,0,1
0.23,0,1
0.72,0,1
1.28,1.28,1
0,0,1
0.46,1.4,1
0.38,1.15,1
0,0,1
0.47,0.4,1
0,0,1
1.12,2.24,1
0.47,0.05,1
0.29,0.14,1
0.29,0.14,1
0.46,0,1
0.46,0,1
0.7,0.35,1
0.43,0.43,1
0,0,1
1.24,0,1
0,4.25,1
0.64,0,1
0,0,1
0.64,0,1
0,0,1
0.64,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0.76,0.38,1
0,0.95,1
0.63,0.88,1
1.02,0.51,1
0.4,0.1,1
0.4,0.1,1
0,1.28,1
0.55,2.23,1
0.4,0.1,1
0.4,0.1,1
0.34,0.15,1
0.8,0.32,1
0,0.92,1
0.67,0.33,1
0.5,1.51,1
0,0,1
0,1.6,1
0.41,0,1
0.38,0.76,1
0,0.4,1
1.12,0.56,1
0.8,1.44,1
0,0,1
0.39,0.19,1
0.39,0.19,1
0.33,0.66,1
0,1.49,1
0,1.65,1
0.33,0.66,1
0,0,1
0.34,0.15,1
0,0,1
1.38,0,1
0,0,1
0.33,0.66,1
0.72,0.29,1
1.09,0,1
0.27,0.81,1
0.39,0,1
0.56,2.25,1
0.67,2.7,1
0.62,0.62,1
1.68,0.33,1
0,0,1
0,1.31,1
0,1.36,1
0,0.85,1
0,0.27,1
0,0.43,1
0.46,0,1
0.29,0.29,1
0.68,0,1
0.46,0,1
0.62,0,1
0,2.1,1
0.35,0.35,1
0.61,0.3,1
0,0,1
2.38,0.26,1
0.08,0.42,1
1,0.5,1
0.54,0.54,1
0,0,1
0,0,1
0,0,1
0,0.89,1
0.66,0.33,1
0,0,1
0.25,0.08,1
0.26,0.08,1
0,0.87,1
0,0.89,1
0,0,1
0,0,1
0.53,0.11,1
0,6.25,1
0,0.53,1
0,1.4,1
0.56,0.56,1
1.32,0.66,1
0,0.8,1
0.87,0.29,1
0.08,0.42,1
0,0,1
1.08,0.54,1
0.08,0.42,1
1.07,0.53,1
0,0,1
0.54,2.19,1
0.38,1.15,1
0.39,1.17,1
0.43,0.43,1
0,0.68,1
1.12,0.56,1
0.55,0.55,1
1.31,0.65,1
0.61,0,1
0.22,1.77,1
0.25,0.08,1
0,0,1
0,0,1
1.08,0.54,1
0,2.5,1
0,0,1
0.15,0.25,1
0.15,0.25,1
1.07,0.35,1
0.48,0.96,1
0.46,0,1
0.68,1.03,1
0.18,0.18,1
0.52,0.39,1
0.32,0.65,1
0.32,0.64,1
0.39,0.19,1
0,0.69,1
0.71,0.71,1
0,0,1
0.16,0.33,1
1.1,0.55,1
0.65,0.32,1
0.72,1.81,1
0,0,1
0,0,1
0,0,1
0.08,0.43,1
0.54,1.09,1
0.42,0,1
0,0,1
0.45,0.22,1
0.55,1.11,1
0,0,1
0.32,0.65,1
1.43,0.71,1
0.55,1.11,1
0,0,1
0.47,0.95,1
0.15,0.31,1
0,0,1
0,0,1
0.32,1.38,1
0.55,0.27,1
0.55,0.27,1
0,0,1
1.42,0.71,1
0.8,1.6,1
0.33,0.99,1
0.81,0.51,1
0.33,0.99,1
0.15,0.31,1
0.62,1.24,1
0.69,0.34,1
0,0,1
0.29,0,1
0,1.11,1
1,0,1
0,2.33,1
0.29,0,1
0.29,0,1
0.58,1.17,1
0,0.75,1
0,6.25,1
0.57,1.14,1
0,0,1
0.47,0.95,1
0.57,1.14,1
0.69,0.34,1
0.57,1.14,1
0,0,1
0.14,0.29,1
0.76,0.38,1
0.6,0.2,1
0,0,1
0.15,0.3,1
0.52,0.52,1
0.85,0.42,1
0.18,1.57,1
0.73,0.2,1
0,0,1
0.71,0.53,1
0.34,1.46,1
0,1.15,1
0.39,0.78,1
0,0,1
0.32,0.64,1
0.54,1.63,1
1.63,0,1
0.56,0,1
0.35,0.35,1
0.34,1.03,1
0.56,0,1
0.64,1.28,1
0.32,0.65,1
0.64,1.28,1
0.56,0,1
0,0,1
0,0,1
0,1.29,1
0.86,0.43,1
0.34,0.34,1
0.16,0.16,1
0.18,1.57,1
0.23,0.58,1
0,0,1
0,0.91,1
1.31,0,1
0.56,0,1
0.56,0,1
0.32,0.65,1
0,0,1
1.24,0.31,1
0,0,1
0,0,1
0,0,1
0.17,0.17,1
1,2,1
0,0,1
0.16,0.32,1
1.53,0,1
1.31,0,1
0,0,1
0.47,0,1
0,0.51,1
0.73,0.36,1
0.64,1.93,1
0,0,1
0,0,1
0,0,1
0.32,0.65,1
1.29,0,1
0,0,1
0.63,1.27,1
0.65,1.3,1
0.19,1.16,1
0,0,1
0.08,0.16,1
0.64,1.93,1
0,0,1
0.73,0.36,1
0,0,1
0,0,1
0.32,0.65,1
0.18,1.57,1
1.31,0,1
0,0,1
0,0,1
0,0,1
0.05,0.02,1
0,0,1
1.45,0.48,1
0.71,0.23,1
0.32,0.65,1
0,7.69,1
0.71,0.23,1
0,0,1
0.29,0.23,1
0.32,0.64,1
1.34,0.67,1
0.05,0.02,1
1.35,0.67,1
0.61,0,1
1.22,1.22,1
0,1.48,1
0,0.45,1
0.31,0.15,1
0.7,0.7,1
0,1.21,1
